id,defensivelinezonePlayers,deepzonePlayers,hookzonePlayers,curlzonePlayers,flatzonePlayers,defenseArea,defenseAreaCoverDefenders,width,height,numberQBs,numberWRs,numberTEs,numberRBs,numberFBs,numberOffensivePlayersAnotherPosition,numberSafeties,numberLBs,numberCBs,strongSide,numberPlayersDefenseStrongSide,numberPlayersDefenseWeakSide,numberPlayersOffenseStrongSide,numberPlayersOffenseWeakSide,differenceOffenseVsDefenseWidth,differenceOffenseVsDefenseStrongSide,differenceOffenseVsDefenseWeakSide,HeightByWeightDeep,HeightByWeightHook,HeightByWeightCurl,HeightByWeightFlat,WeightByArea,density,densityNoLine,densityInsidePoints,densityInsidePointsNoLine,cluster,playResult
2018090600:1715:1,2,0,2,2,2,239.66540000000032,235.7691000000003,35.82,12.990000000000007,1,3,1,1,0,0,2,3,3,0,5,3,3,2,0.5799999999999983,-2,-1,0.0,0.0185340136054421,0.0196875,0.021234772978959,2.34551516716991,0.0333798704360328,0.0254486274918977,7.974965097172975,7.978792810423418,1,5
2018090600:1750:1,0,1,2,2,2,217.44685000000004,217.44685000000004,33.190000000000005,14.570000000000007,1,3,1,1,0,0,2,2,3,0,3,4,3,2,-0.6000000000000085,0,-2,0.0208333333333333,0.0180758206195099,0.0187096088435374,0.021234772978959,3.016829169978778,0.0321917746796516,0.0321917746796516,6.9862035251372925,6.9862035251372925,2,7
2018090600:1779:1,0,1,2,2,2,247.40180000000004,247.40180000000004,37.58000000000001,14.700000000000005,1,3,1,1,0,0,2,2,3,0,3,4,3,2,-0.3500000000000085,0,-2,0.0208333333333333,0.0180758206195099,0.0187096088435374,0.021234772978959,2.6515571026564886,0.0282940544490783,0.0282940544490783,6.987873976664681,6.987873976664681,2,0
2018090600:1801:1,0,1,1,4,1,219.77040000000005,219.77040000000005,29.450000000000006,15.159999999999997,1,3,1,1,0,0,2,2,3,0,3,4,3,2,-0.0399999999999991,0,-2,0.0188775510204081,0.0179611650485436,0.0197111364894795,0.0211904761904761,2.984933366822829,0.031851423121585,0.031851423121585,6.986349390090751,6.986349390090751,2,0
2018090600:1869:1,0,1,2,4,0,194.6679,194.6679,25.32,13.309999999999995,1,3,1,1,0,0,2,2,3,1,3,4,2,3,-1.599999999999998,-1,-1,0.0202272727272727,0.0176833213515456,0.0208708801846841,0.0,3.3338829873851834,0.0359586762892084,0.0359586762892084,6.974315231221994,6.974315231221994,3,13
2018090600:1894:1,0,0,3,3,1,183.78040000000007,183.78040000000007,29.68,11.32,1,3,1,1,0,0,2,2,3,1,5,2,3,2,0.9699999999999988,-2,0,0.0,0.0185313051434546,0.0208163459933719,0.0210344827586206,3.531388548506804,0.0380889365786558,0.0380889365786558,6.972793616729533,6.972793616729533,6,0
2018090600:1916:1,0,0,1,5,1,141.17844999999994,141.17844999999994,29.12,8.11,1,3,1,1,0,0,3,1,3,0,3,4,2,3,0.8200000000000074,-1,-1,0.0,0.0172897196261682,0.0207636091528545,0.0204545454545454,4.490770368990454,0.0495826381434277,0.0495826381434277,6.957500595877062,6.957500595877062,1,7
2018090600:1940:1,0,1,1,3,2,291.19625000000013,291.19625000000013,34.35,14.46,1,3,1,1,0,0,3,1,3,0,4,3,3,2,2.3399999999999963,-1,-1,0.0205617977528089,0.0202272727272727,0.0197614040505795,0.020744514106583,2.1772258399618805,0.02403877110368,0.02403877110368,6.982829449211657,6.982829449211657,2,0
2018090600:2055:1,0,1,2,3,1,242.36669999999992,242.36669999999992,30.05,16.800000000000008,1,3,1,1,0,0,2,2,3,0,3,4,2,3,-0.1099999999999958,-1,-1,0.0208333333333333,0.0184193580344759,0.0193370708748615,0.0211904761904761,2.7066424554198254,0.0288818554694188,0.0288818554694188,6.987622061941678,6.987622061941678,2,0
2018090600:2094:1,3,0,1,2,2,213.48374999999984,212.1359500000003,36.2,11.909999999999997,1,3,1,1,0,0,2,3,3,1,4,4,3,2,0.4199999999999946,-1,-2,0.0,0.0188775510204081,0.0196875,0.021234772978959,2.11185327145163,0.0374735781997459,0.0235697909760226,7.976579013625159,7.981144167219182,6,0
2018090600:2116:1,1,0,3,3,1,207.861,203.62870000000012,29.42,14.269999999999996,1,3,1,1,0,0,2,3,3,1,5,3,4,1,-0.1999999999999993,-1,-2,0.0,0.0192240164674284,0.0193370708748615,0.0211904761904761,3.221549811004045,0.038487258312045,0.0343762937149821,7.9759454635549725,7.980356403591439,6,4
2018090600:2260:1,1,0,3,3,1,182.6504500000001,180.16585000000003,28.82,12.38000000000001,1,2,2,1,0,0,2,3,3,1,4,4,4,1,-0.1899999999999977,0,-3,0.0,0.0189949915241177,0.0195660958181722,0.0211904761904761,3.641089584957415,0.0437995088432576,0.038853090083387,7.972625306972964,7.977798234238064,6,8
2018090600:2305:1,1,1,3,3,0,154.68595,154.68595,18.950000000000006,15.589999999999996,1,2,2,1,0,0,2,3,3,1,3,5,3,2,-0.5600000000000023,0,-3,0.0208333333333333,0.018343064086476,0.0203370708748615,0.0,4.24085057498758,0.0517176899388729,0.0452529786965138,7.974141155030564,7.974141155030564,3,5
2018090600:2360:1,0,1,3,3,0,157.4369000000001,157.4369000000001,21.17,13.82,1,2,2,1,0,0,2,3,2,1,3,4,3,2,-3.990000000000002,0,-2,0.0208333333333333,0.0186741298461132,0.020220007382798,0.0,4.179452212283143,0.0444622575774802,0.0444622575774802,6.968241244587513,6.968241244587513,3,0
2018090600:2382:1,2,0,2,2,2,217.8367999999998,189.15345000000008,40.82000000000001,9.999999999999991,1,3,1,1,0,0,2,3,3,1,3,5,2,3,0.1999999999999886,-1,-2,0.0,0.0193972491909385,0.0187096088435374,0.021234772978959,2.9129788539410715,0.0367247407233305,0.0317202779013546,7.972456444457502,7.9682797220986465,6,0
2018090600:2450:1,3,1,1,1,1,197.5776,170.61234999999996,25.090000000000003,15.04,1,1,3,1,0,0,2,3,2,0,4,3,3,2,-2.9100000000000072,-1,-1,0.0202272727272727,0.0172897196261682,0.0210344827586206,0.0204545454545454,2.168658951125168,0.0354291174708064,0.0234449616337856,6.974693487520852,6.982416278774661,2,4
2018090600:2474:1,1,1,2,2,1,233.31110000000007,216.14360000000005,27.340000000000003,15.630000000000004,1,3,1,1,0,0,2,2,3,1,4,3,3,2,-0.8100000000000023,-1,-1,0.0196774193548387,0.0187584961767204,0.0213858093126385,0.0210344827586206,2.521471836316226,0.0300028588438355,0.027759322968619,6.9785693865401175,6.981493784687588,0,0
2018090600:2575:1,0,3,1,2,1,112.47160000000002,112.47160000000002,36.32,6.059999999999995,1,3,1,1,0,0,3,1,3,0,4,3,3,2,-3.240000000000002,-1,-1,0.0202312541873977,0.0172897196261682,0.0212721729490022,0.0210344827586206,5.636978579481398,0.0622379338428545,0.0622379338428545,6.955544332969391,6.955544332969391,2,6
2018090600:2624:1,0,1,2,2,2,251.51580000000007,251.51580000000007,33.84,15.580000000000004,1,2,2,1,0,0,2,3,2,0,3,4,2,3,0.5,-1,-1,0.0209302325581395,0.0180758206195099,0.0193108974358974,0.021234772978959,2.59228247291025,0.0278312535435149,0.0278312535435149,6.988072319909923,6.988072319909923,2,4
2018090600:2648:1,0,1,3,1,2,221.11299999999991,221.11299999999991,32.5,14.389999999999992,1,2,2,1,0,0,2,3,2,0,3,4,3,2,-1.2800000000000011,0,-2,0.0209302325581395,0.0179800342591604,0.0208333333333333,0.021234772978959,2.948718528535185,0.0316580210118808,0.0316580210118808,6.986432276709193,6.986432276709193,2,5
2018090600:2693:1,0,1,2,3,1,184.3350000000001,184.3350000000001,29.31,13.68,1,2,2,1,0,0,2,2,3,0,3,4,2,3,-1.6500000000000057,-1,-1,0.0208333333333333,0.0180758206195099,0.020250322997416,0.0211904761904761,3.493639298017196,0.037974340195839,0.037974340195839,6.9783003770309495,6.9783003770309495,2,0
2018090600:2736:1,1,1,2,3,1,188.7831,177.6548999999999,23.87,15.209999999999996,1,2,2,1,0,0,2,3,3,0,4,4,2,3,-0.2199999999999917,-2,-1,0.0209302325581395,0.0182514158576051,0.0201009597637504,0.0211904761904761,3.625005558529488,0.042376674606996,0.0394022343318422,7.973514578370628,7.97748443752466,2,15
2018090600:2764:1,0,0,3,2,2,286.0285,286.0285,38.21,13.119999999999996,1,3,1,1,0,0,2,2,3,0,4,3,2,3,-0.7299999999999969,-2,0,0.0,0.0191443547577833,0.0195119047619047,0.0207027649769585,2.2759969723296805,0.024473085723975,0.024473085723975,6.986015379586299,6.986015379586299,1,0
2018090600:2980:1,0,0,3,2,2,83.76149999999996,83.76149999999996,34.89,3.839999999999996,1,3,1,1,0,0,2,2,3,1,5,2,4,1,1.4200000000000017,-1,-1,0.0,0.0183480206859766,0.0212721729490022,0.020744514106583,7.748189800803477,0.083570614184321,0.083570614184321,6.9403067041540565,6.9403067041540565,6,15
2018090600:3004:1,1,0,1,5,0,169.18899999999996,145.18599999999986,23.98,11.689999999999998,1,3,1,1,0,0,3,1,3,0,2,5,1,4,0.0699999999999967,-1,-1,0.0,0.0202272727272727,0.0208090636983091,0.0,3.6298265672998817,0.0413738481816193,0.041326298678936,6.970447251298842,6.972449134214043,5,0
2018090600:3066:1,0,0,3,3,1,185.50219999999987,185.50219999999987,26.92,12.22,1,3,1,1,0,0,2,2,3,1,4,3,3,2,-5.560000000000006,-1,-1,0.0,0.0189949915241177,0.0202207918050941,0.0212790697674418,3.471656939917696,0.0377354015208445,0.0377354015208445,6.97843691341666,6.97843691341666,6,0
2018090600:3095:1,2,0,2,4,0,192.2276499999998,189.7569,24.12,14.72999999999999,1,3,1,1,0,0,2,3,3,0,3,5,2,3,-1.0499999999999972,-1,-2,0.0,0.0194456988033416,0.0204611364894795,0.0,2.8404764200932884,0.0416173219617469,0.0316194035631905,7.973989173773909,7.97892039762454,5,0
2018090600:3181:1,0,0,3,4,0,166.93609999999995,166.93609999999995,24.18,11.65,1,2,2,1,0,0,3,2,2,0,3,4,2,3,-4.789999999999999,-1,-1,0.0,0.0193595967020833,0.0198108426612319,0.0,3.92964733212289,0.0419322123854576,0.0419322123854576,6.9760387357797375,6.9760387357797375,5,0
2018090600:3203:1,0,0,2,3,2,182.12755,182.12755,36.53,9.490000000000002,1,2,1,2,0,0,3,1,3,0,3,4,3,2,-7.719999999999999,0,-2,0.0,0.0187584961767204,0.0204245666220894,0.0213858093126385,3.481076860694607,0.0384346025628742,0.0384346025628742,6.961565397437125,6.961565397437125,1,0
2018090600:3257:1,1,0,2,3,1,143.26929999999962,110.10754999999996,27.49,7.729999999999991,1,3,1,1,0,0,2,3,2,1,3,4,2,3,1.4999999999999964,-1,-1,0.0,0.0187584961767204,0.019402962628769,0.0210344827586206,5.14951063755392,0.0488590367929487,0.0544921760587716,6.9651006880050375,6.954589853284358,6,0
2018090600:3279:1,0,1,2,2,2,250.37969999999996,250.37969999999996,33.14,15.179999999999993,1,3,1,1,0,0,3,2,2,0,5,2,4,1,1.8000000000000045,-1,-1,0.0205617977528089,0.0176833213515456,0.0199523460410557,0.020744514106583,2.6200207125417925,0.0279575380911471,0.0279575380911471,6.984024263947916,6.984024263947916,2,5
2018090600:3481:1,0,0,2,4,1,143.3717500000001,143.3717500000001,27.72,11.240000000000002,1,2,2,1,0,0,2,2,3,0,3,4,2,3,-2.6899999999999977,-1,-1,0.0,0.0194456988033416,0.0197111364894795,0.0211904761904761,4.491819343768906,0.0488241233018359,0.0488241233018359,6.972100500970379,6.972100500970379,1,0
2018090600:3678:1,1,0,4,3,0,147.50795,139.93569999999997,23.01,14.219999999999995,1,3,1,1,0,0,2,3,3,0,3,5,2,3,-2.060000000000006,-1,-2,0.0,0.0194788017826231,0.019516196013289,0.0,4.602113685071073,0.0542343649952426,0.050022974837729,7.966103521877973,7.97141544294987,5,0
2018090600:3791:1,0,1,1,3,2,222.1095,222.1095,32.13,12.939999999999998,1,3,1,1,0,0,2,2,3,1,5,2,3,2,2.289999999999999,-2,0,0.0202272727272727,0.0172897196261682,0.0200238052008311,0.020744514106583,2.9219821754585014,0.031515986484144,0.031515986484144,6.9819908648662015,6.9819908648662015,0,-5
2018090600:3815:1,0,1,2,3,1,174.48749999999973,174.48749999999973,30.0,11.049999999999995,1,3,1,1,0,0,3,1,3,0,4,3,3,2,1.0799999999999983,-1,-1,0.0205617977528089,0.0184835694905034,0.0211929428855417,0.0204545454545454,3.633498101583213,0.0401174869259976,0.0401174869259976,6.971344652195716,6.971344652195716,2,-3
2018090600:3844:1,0,4,1,2,0,104.43410000000004,104.43410000000004,31.340000000000003,6.4099999999999975,1,3,1,1,0,0,3,1,3,0,4,3,3,2,-9.220000000000006,-1,-1,0.0204320613302034,0.0172897196261682,0.0212721729490022,0.0,6.07081403487941,0.0670279152116023,0.0670279152116023,6.9521229177059976,6.9521229177059976,4,14
2018090600:3904:1,1,1,2,3,1,286.3958999999998,248.0309999999998,31.24,17.819999999999993,1,3,1,1,0,0,2,3,3,0,4,4,3,2,-2.2600000000000016,-1,-2,0.0209302325581395,0.0180758206195099,0.0202180232558139,0.0211904761904761,2.5964496373437207,0.0279333607778603,0.0282222786667795,7.98603331961107,7.983872983618983,2,2
2018090600:3928:1,1,1,2,2,2,273.28454999999974,235.73984999999985,34.11,15.959999999999996,1,3,1,1,0,0,2,3,3,0,4,4,3,2,-0.8999999999999986,-1,-2,0.0209302325581395,0.0180758206195099,0.0196875,0.021234772978959,2.731824933289813,0.0292735172917752,0.0296937492748892,7.985363241354112,7.9872741074536195,2,0
2018090600:3950:1,2,1,2,3,0,206.038,190.5583,23.17,14.579999999999998,1,3,1,1,0,0,2,3,3,0,3,5,3,2,-3.18,0,-3,0.0209302325581395,0.0196875,0.020220007382798,0.0,2.839026166795149,0.038827789048622,0.0314864269884859,7.970879158213532,7.973761310842928,4,9
2018090600:3979:1,1,1,2,3,1,308.64299999999986,258.2076,32.31,18.599999999999994,1,3,1,1,0,0,2,3,3,0,4,4,3,2,-0.9600000000000009,-1,-2,0.0209302325581395,0.0180758206195099,0.0202180232558139,0.0211904761904761,2.494117136753527,0.0259199139458857,0.0271099688777557,7.987040043027058,7.9883814419095325,2,6
2018090600:4142:1,0,0,3,3,1,138.41530000000014,138.41530000000014,31.97,7.740000000000008,1,3,1,1,0,0,3,1,3,0,3,4,2,3,-0.8000000000000007,-1,-1,0.0,0.0190648039027598,0.0213044512273871,0.0204545454545454,4.580418494198251,0.0505724439422519,0.0505724439422519,6.963876825755534,6.963876825755534,1,6
2018090600:4207:1,1,1,0,3,2,276.67499999999995,221.00565,32.550000000000004,15.7,1,3,1,1,0,0,3,1,3,1,3,4,2,3,1.8299999999999983,-1,-1,0.0205617977528089,0.0,0.0207405884176143,0.020744514106583,2.3845544220249573,0.0253004427577482,0.02714862719573,6.981928255173037,6.977376144003558,0,0
2018090600:4282:1,0,1,0,6,0,196.83275,196.83275,22.85,14.53,1,3,1,1,0,0,3,1,3,1,4,3,3,2,-3.419999999999998,-1,-1,0.0205617977528089,0.0,0.0201667521820295,0.0,3.221008699009692,0.0355631875284981,0.0355631875284981,6.969517267832716,6.969517267832716,3,9
2018090900:95:1,1,0,3,2,1,212.99925,159.47594999999995,28.550000000000004,12.269999999999996,1,2,1,1,0,1,2,3,2,0,5,2,3,2,-1.7100000000000044,-2,0,0.0,0.0188328091277238,0.0206257264626113,0.0207954545454545,3.5428539538406896,0.0328639654834465,0.0376232278283967,6.9765257389403965,6.968647310143004,1,11
2018090900:210:1,0,0,3,3,1,145.14704999999995,145.14704999999995,27.67,8.200000000000003,1,2,2,1,0,0,2,3,2,0,4,3,3,2,-2.52,-1,-1,0.0,0.0188328091277238,0.0193060398639631,0.0207954545454545,4.657345774509369,0.0482269532863396,0.0482269532863396,6.965552176224043,6.965552176224043,1,0
2018090900:232:1,0,0,4,2,1,150.05694999999992,150.05694999999992,26.83,7.819999999999991,1,3,1,1,0,0,2,2,3,0,4,3,3,2,-3.330000000000002,-1,-1,0.0,0.0192970206388963,0.0206257264626113,0.0207954545454545,4.345017008542427,0.0466489556131855,0.0466489556131855,6.960015180902984,6.960015180902984,1,11
2018090900:444:1,2,0,2,3,2,232.08925000000016,187.51900000000032,33.72,11.88000000000001,1,3,1,1,0,0,2,4,3,0,5,4,1,4,0.9200000000000016,-4,0,0.0,0.0176935840707964,0.0196849563597136,0.0199124778237729,3.56230568635711,0.0387781855471547,0.0373295506055385,8.978456563584912,8.973336035281758,1,0
2018090900:466:1,4,1,2,3,1,232.93150000000009,229.0455000000001,28.12,15.400000000000004,1,3,1,1,0,0,2,6,3,1,6,5,3,2,-2.7099999999999973,-3,-3,0.01875,0.0170800519607047,0.0201836788942052,0.0205617977528089,2.94264676669046,0.0472241839339033,0.0305616133039068,10.97424135421787,10.982536220969196,0,-3
2018090900:531:1,0,0,1,4,2,230.63240000000005,230.63240000000005,39.41,8.330000000000005,1,3,1,1,0,0,2,2,3,1,4,3,3,2,0.4600000000000009,-1,-1,0.0,0.0173451327433628,0.0201011868912578,0.0207425548589341,2.82700956153602,0.0303513296483928,0.0303513296483928,6.973984574587091,6.973984574587091,6,0
2018090900:553:1,3,0,2,1,2,226.88914999999983,190.4968000000001,35.3,12.699999999999996,1,4,0,1,0,0,2,3,3,0,4,4,3,2,-1.0999999999999943,-1,-2,0.0,0.0206257264626113,0.0210344827586206,0.0207425548589341,2.2992512210178853,0.0352595088835231,0.0262471600572817,7.977962806947797,7.979002271954174,1,0
2018090900:600:1,2,0,1,5,1,194.87815000000023,136.8631000000002,26.39,9.920000000000002,1,3,1,1,0,0,2,4,3,0,4,5,1,4,-1.2499999999999964,-3,-1,0.0,0.0166371681415929,0.0196733333663899,0.0192631578947368,4.880789635774718,0.046182704423251,0.05114599917728,8.969211530384497,8.95616057213376,1,0
2018090900:622:1,2,0,2,4,1,211.5204,153.9524,26.29,12.299999999999995,1,3,1,1,0,0,2,4,3,0,4,5,2,3,-2.0699999999999967,-2,-2,0.0,0.0185458567980691,0.0194780303443511,0.0192631578947368,4.3390034841938165,0.0425490874639042,0.0454685993852645,8.971633941690731,8.967522429010526,1,3
2018090900:646:1,3,1,2,2,2,290.3950499999998,273.61115000000007,31.55,15.36,1,3,1,1,0,0,2,4,4,0,6,4,3,2,0.990000000000002,-3,-2,0.01875,0.016164112526081,0.0206439393939394,0.0199124778237729,2.514517409104124,0.0344358486826824,0.0255837527089082,9.979338490790392,9.978071069106653,2,0
2018090900:720:1,0,0,2,4,1,185.03335,185.03335,27.51,12.340000000000003,1,3,1,1,0,0,2,2,3,0,5,2,3,2,-1.259999999999998,-2,0,0.0,0.0193403048169985,0.0199661813049629,0.0206896551724137,3.5236891079364883,0.0378310180299929,0.0378310180299929,6.972977844264292,6.972977844264292,1,0
2018090900:775:1,0,0,2,3,2,224.52120000000005,224.52120000000005,31.93,10.28,2,3,1,0,0,0,2,2,3,0,4,3,3,2,-1.5399999999999991,-1,-1,0.0,0.0177319723122754,0.0207619785612811,0.0207425548589341,2.903957399123112,0.0311774567390518,0.0311774567390518,6.977730388043534,6.977730388043534,1,0
2018090900:797:1,0,0,3,3,1,119.36455000000002,119.36455000000002,20.53,10.730000000000004,1,2,2,1,0,0,2,3,2,0,3,4,3,2,-2.139999999999997,0,-2,0.0,0.0188328091277238,0.0193060398639631,0.0207954545454545,5.663322988274156,0.0586438770975134,0.0586438770975134,6.966489213087135,6.966489213087135,1,12
2018090900:853:1,0,0,2,3,2,267.59569999999985,267.59569999999985,36.35,11.319999999999991,1,3,1,1,0,0,2,2,3,0,3,4,2,3,0.1400000000000005,-1,-1,0.0,0.0177319723122754,0.0207619785612811,0.0207425548589341,2.4365114985031537,0.0261588657814755,0.0261588657814755,6.9850520766963,6.9850520766963,1,4
2018090900:1035:1,2,0,1,3,2,248.9559500000001,225.50134999999992,32.63,12.180000000000009,1,3,1,1,0,0,2,3,3,0,3,5,2,3,0.3800000000000025,-1,-2,0.0,0.0166371681415929,0.0200126262626262,0.0199124778237729,2.505528237414101,0.0321341988412006,0.0266073795123621,7.975899350869099,7.9778271837396995,1,-4
2018090900:1204:1,1,1,1,3,2,332.70915,312.0721999999999,35.96,15.22,1,3,1,1,0,0,2,3,3,0,5,3,3,2,-0.3200000000000003,-2,-1,0.0210344827586206,0.0173451327433628,0.0197900882688036,0.0207425548589341,2.089260113525012,0.0240450255125234,0.0224307067402992,7.984971859054672,7.983978066614072,2,0
2018090900:1260:1,2,0,1,5,0,204.87074999999996,176.6664,24.169999999999995,12.32,1,3,1,1,0,0,2,3,3,0,3,5,3,2,-1.4599999999999935,0,-3,0.0,0.0166371681415929,0.018852277397151,0.0,3.1981180348951472,0.0390490101686063,0.0339623154148157,8.970713242373545,8.977358456390123,5,4
2018090900:1316:1,2,1,1,2,2,273.9195,242.71245,33.89,14.619999999999996,1,3,1,1,0,0,2,3,3,1,5,3,4,1,0.6700000000000017,-1,-2,0.0204545454545454,0.0166371681415929,0.0197916666666666,0.0199124778237729,2.3278575120476925,0.029205660787202,0.0247206107474091,8.985397169606399,8.98351959283506,0,0
2018090900:1338:1,4,0,2,4,0,204.7307,159.12964999999994,22.92,11.759999999999998,1,3,1,1,0,0,2,4,4,1,5,5,3,2,-2.41,-2,-3,0.0,0.0185458567980691,0.0198520722452197,0.0,3.5505639583823645,0.0488446530002583,0.0377051039828215,9.960924277599792,9.968579080014315,3,0
2018090900:1385:1,0,1,2,3,1,195.8889,195.8889,26.76,13.810000000000002,1,2,2,1,0,0,2,3,2,0,4,3,3,2,-2.140000000000001,-1,-1,0.0205617977528089,0.0170058997050147,0.0199829163950877,0.0206896551724137,3.450935708965644,0.0357345413650288,0.0357345413650288,6.974475327596407,6.974475327596407,2,0
2018090900:1425:1,2,1,1,2,1,255.32075000000003,236.56494999999973,28.51,16.29,1,3,1,1,0,0,2,2,3,0,4,3,3,2,-1.2399999999999949,-1,-1,0.0210344827586206,0.0173451327433628,0.0206257264626113,0.0207954545454545,1.96140637063944,0.0274164947423975,0.0211358445112008,6.9765001473636605,6.978864155488799,2,0
